property_id,id,full_address,street_address,unit,city,state,zip_code,county,latitude,longitude,property_type,bedrooms,bathrooms,sqft,lot_size_sqft,year_built,building_age,last_sale_price,last_sale_date,days_since_sale,price_per_sqft,assessed_value,tax_year,annual_tax,owner_name,owner_occupied,assessor_id,building_age_grp
P-100032,10032,"1769 Clearwater Ct, Apt 21D, Charlotte, NC 99687",1769 Clearwater Ct,Apt 21D,Charlotte,NC,99687,Mecklenburg,36.910908,-146.468209,Townhouse,7,1.0,3444,12172,1974,50,635986.65,05/07/2025,283,184.67,605324.61,2023,4934.5,Mark Young,True,NC-ME-57472,Old
P-100033,10033,"7235 Washington Ave, Apt 20D, Queens, NY 78386",7235 Washington Ave,Apt 20D,Queens,NY,78386,Queens,46.585054,-133.502832,Condo,7,4.5,4408,11544,2013,11,2257047.59,01/09/2022,1321,512.03,2382345.21,2022,52411.59,Donald Thomas,False,NY-QU-84691,New
P-100035,10035,"8141 Harbor View Blvd, Apt 24B, Boise, ID 12260",8141 Harbor View Blvd,Apt 24B,Boise,ID,12260,Ada,23.465914,-137.721113,Condo,3,3.5,4476,13544,1987,37,388130.77,01/12/2017,3056,86.71,374591.43,2023,6156.13,Karen Martin,True,ID-AD-25814,Mid-age
P-100036,10036,"2058 Washington Ave, Apt 2E, Las Vegas, NV 35105",2058 Washington Ave,Apt 2E,Las Vegas,NV,35105,Clark,26.734193,-114.874723,Townhouse,7,5.0,5488,10124,1932,92,769450.12,17/12/2022,1214,140.21,668071.18,2022,7767.8,Melissa Wright,True,NV-CL-15965,Old
P-100042,10042,"759 Washington Ave, Apt 10D, Lexington, KY 71669",759 Washington Ave,Apt 10D,Lexington,KY,71669,Fayette,34.752542,-118.526042,Condo,2,4.0,5800,13856,1931,93,486608.11,14/09/2021,1673,83.9,437943.66,2024,4053.26,William Perez,True,KY-FA-74942,Old
P-100046,10046,"8418 Jackson Dr, Apt 19D, Nashville, TN 10336",8418 Jackson Dr,Apt 19D,Nashville,TN,10336,Davidson,28.495233,-131.025641,Townhouse,5,4.5,1817,9133,1988,36,497786.28,22/07/2022,1362,273.96,480650.1,2024,6020.87,Daniel Gonzalez,False,TN-DA-41300,Mid-age
P-100048,10048,"2461 Willow Way, Apt 20A, Houston, TX 95823",2461 Willow Way,Apt 20A,Houston,TX,95823,Harris,46.703855,-150.489942,Condo,3,4.0,5923,7238,1962,62,784826.24,24/08/2016,3520,132.5,753501.23,2023,15070.02,Ronald Young,False,TX-HA-14705,Old
P-100050,10050,"2885 Washington Ave, Apt 12E, Decatur, GA 20350",2885 Washington Ave,Apt 12E,Decatur,GA,20350,DeKalb,37.151532,-123.718646,Condo,4,2.0,2502,10057,2001,23,318102.32,03/06/2023,1046,127.14,318118.93,2023,5985.25,Amanda Wright,True,GA-DE-67898,Mid-age
P-100052,10052,"8238 Heritage Ln, Apt 2E, San Diego, CA 40162",8238 Heritage Ln,Apt 2E,San Diego,CA,40162,San Diego,37.087222,-126.348077,Condo,5,3.0,6152,17963,2018,6,2460503.7,18/11/2016,3434,399.95,2069366.71,2022,38988.62,Carol Williams,True,CA-SA-67779,New
P-100053,10053,"2253 Pine Rd, Apt 15A, Columbus, OH 48680",2253 Pine Rd,Apt 15A,Columbus,OH,48680,Franklin,29.658057,-120.851231,Condo,2,5.0,3597,12294,1984,40,832519.84,20/12/2016,3402,231.45,707111.82,2023,13865.48,Charles Mitchell,False,OH-FR-25095,Mid-age
P-100058,10058,"9180 Jefferson St, Apt 5A, Oakland, CA 86858",9180 Jefferson St,Apt 5A,Oakland,CA,86858,Alameda,26.722711,-81.336498,Townhouse,7,2.0,5482,5528,1955,69,3068138.69,29/08/2024,593,559.68,3363472.17,2024,37024.6,Susan Davis,False,CA-AL-13379,Old
P-100064,10064,"1982 Jackson Dr, Apt 28B, Cleveland, OH 85248",1982 Jackson Dr,Apt 28B,Cleveland,OH,85248,Cuyahoga,26.993216,-119.66722,Condo,7,5.0,815,10792,2004,20,766979.42,14/04/2023,1096,941.08,620245.48,2023,10192.11,Lisa Perez,True,OH-CU-33777,Mid-age
P-100067,10067,"844 Madison Ave, Apt 18C, Lakewood, CO 61807",844 Madison Ave,Apt 18C,Lakewood,CO,61807,Jefferson,47.08781,-152.23397,Condo,3,2.5,1724,5910,1957,67,693746.83,13/03/2026,32,402.41,658515.31,2023,6656.5,Anthony Wright,False,CO-JE-75570,Old
P-100068,10068,"6605 Maple Dr, Apt 3D, Irvine, CA 67176",6605 Maple Dr,Apt 3D,Irvine,CA,67176,Orange,21.496651,-76.858868,Townhouse,5,4.0,5297,11923,2010,14,2402432.09,14/01/2023,1186,453.55,2004954.53,2022,39285.87,William Flores,True,CA-OR-57428,New
P-100069,10069,"4086 Summit Rd, Apt 27B, Fort Lauderdale, FL 87184",4086 Summit Rd,Apt 27B,Fort Lauderdale,FL,87184,Broward,31.61192,-150.157703,Condo,6,3.5,2415,7871,2019,5,251143.51,23/07/2020,2091,103.99,248623.89,2024,3510.43,Stephanie Thompson,True,FL-BR-94599,New
P-100071,10071,"2573 Harbor View Blvd, Apt 20E, Las Vegas, NV 18950",2573 Harbor View Blvd,Apt 20E,Las Vegas,NV,18950,Clark,33.426409,-102.069495,Condo,5,1.0,3483,11795,1929,95,362118.12,19/03/2021,1852,103.97,293779.98,2023,5282.27,John Adams,False,NV-CL-21835,Old
P-100073,10073,"7272 Harbor View Blvd, Apt 9E, Charlotte, NC 78690",7272 Harbor View Blvd,Apt 9E,Charlotte,NC,78690,Mecklenburg,34.852823,-143.18908,Townhouse,3,4.0,3948,9491,2006,18,586350.97,07/06/2017,3233,148.52,580057.06,2023,5099.25,Michael Scott,False,NC-ME-47243,New
P-100075,10075,"7037 Birch St, Apt 22C, Sacramento, CA 57425",7037 Birch St,Apt 22C,Sacramento,CA,57425,Sacramento,21.483109,-130.128652,Condo,3,4.5,2172,5883,1937,87,922582.78,19/12/2022,1212,424.76,971782.75,2022,13694.63,Andrew Mitchell,False,CA-SA-14947,Old
P-100076,10076,"2247 Forest Glen Rd, Apt 18B, Omaha, NE 30218",2247 Forest Glen Rd,Apt 18B,Omaha,NE,30218,Douglas,25.299551,-84.67298,Townhouse,7,2.0,4185,4900,1972,52,404153.54,19/03/2018,2948,96.57,352122.43,2023,5397.03,Ronald Mitchell,False,NE-DO-40671,Old
P-100085,10085,"4913 Ridgewood Rd, Apt 3D, Provo, UT 23447",4913 Ridgewood Rd,Apt 3D,Provo,UT,23447,Utah,23.121826,-99.500028,Condo,4,4.0,1965,13266,1976,48,394206.65,22/10/2025,174,200.61,401319.84,2023,6171.58,Sandra Moore,False,UT-UT-17518,Mid-age
P-100087,10087,"7373 Elm St, Apt 20C, Cleveland, OH 85225",7373 Elm St,Apt 20C,Cleveland,OH,85225,Cuyahoga,24.64892,-125.075354,Townhouse,6,3.0,2644,4502,1923,101,693826.39,07/09/2020,2045,262.42,662828.71,2024,6239.29,Stephanie Taylor,False,OH-CU-38124,Old
P-100091,10091,"8588 Sunset Blvd, Apt 19E, Tampa, FL 49862",8588 Sunset Blvd,Apt 19E,Tampa,FL,49862,Hillsborough,25.363413,-128.928515,Condo,3,5.0,2926,4218,1952,72,273115.5,08/02/2020,2257,93.34,240979.45,2024,2803.53,Andrew Garcia,True,FL-HI-32103,Old
P-100096,10096,"4781 Main St, Apt 9E, Rockville, MD 24089",4781 Main St,Apt 9E,Rockville,MD,24089,Montgomery,32.419586,-80.226351,Townhouse,7,4.0,3597,4338,1971,53,361389.22,25/12/2019,2302,100.47,310215.27,2024,3556.07,Anthony Allen,True,MD-MO-82070,Old
P-100097,10097,"2046 Lake Dr, Apt 20E, Wichita, KS 22672",2046 Lake Dr,Apt 20E,Wichita,KS,22672,Sedgwick,31.438448,-87.843941,Townhouse,5,3.5,1781,5042,1997,27,517115.56,03/09/2020,2049,290.35,419937.38,2022,4050.06,Nancy Walker,True,KS-SE-29521,Mid-age
P-100098,10098,"5473 Ridgewood Rd, Apt 10A, Brooklyn, NY 31299",5473 Ridgewood Rd,Apt 10A,Brooklyn,NY,31299,Kings,31.413297,-103.364458,Condo,5,3.5,4755,13106,1988,36,1944032.29,21/12/2019,2306,408.84,1730066.59,2022,38061.46,Amanda Davis,False,NY-KI-86507,Mid-age
P-100099,10099,"7875 Adams St, Apt 7A, Oklahoma City, OK 95929",7875 Adams St,Apt 7A,Oklahoma City,OK,95929,Oklahoma,41.746956,-89.473904,Townhouse,2,1.0,5380,13251,1941,83,528901.22,13/03/2018,2954,98.31,521454.68,2023,5096.34,Amanda Thomas,True,OK-OK-24404,Old
P-100100,10100,"5239 Willow Way, Apt 30E, Portland, OR 29848",5239 Willow Way,Apt 30E,Portland,OR,29848,Multnomah,31.943443,-139.261424,Condo,7,4.5,1110,12673,1937,87,922419.85,29/12/2019,2298,831.01,827885.52,2024,11375.52,Anthony Lee,False,OR-MU-70249,Old
P-100101,10101,"9050 Hillcrest Ave, Apt 11D, Nashville, TN 98587",9050 Hillcrest Ave,Apt 11D,Nashville,TN,98587,Davidson,41.457729,-94.279563,Condo,5,4.5,2175,6213,1955,69,555307.59,05/10/2023,922,255.31,601090.29,2023,10371.27,Melissa Wilson,False,TN-DA-74094,Old
P-100103,10103,"9308 Jackson Dr, Apt 18B, Seattle, WA 27992",9308 Jackson Dr,Apt 18B,Seattle,WA,27992,King,23.894504,-92.542485,Condo,2,1.0,6087,14787,1948,76,2395730.95,10/09/2025,216,393.58,1988598.97,2023,33027.24,Michael Baker,False,WA-KI-10679,Old
P-100104,10104,"7893 Riverside Dr, Apt 30A, Philadelphia, PA 95267",7893 Riverside Dr,Apt 30A,Philadelphia,PA,95267,Philadelphia,26.285583,-73.139479,Townhouse,3,1.0,1332,12019,1993,31,301131.76,31/12/2017,3026,226.07,306231.52,2022,5805.77,Susan Clark,False,PA-PH-33040,Mid-age
P-100105,10105,"8216 Washington Ave, Apt 11B, Troy, MI 47941",8216 Washington Ave,Apt 11B,Troy,MI,47941,Oakland,44.233694,-156.193756,Townhouse,5,1.5,3344,8006,1978,46,891497.59,10/03/2020,2226,266.6,853426.69,2022,15543.22,Ashley Moore,True,MI-OA-24764,Mid-age
P-100106,10106,"4315 Washington Ave, Apt 16C, Kansas City, MO 11846",4315 Washington Ave,Apt 16C,Kansas City,MO,11846,Jackson,40.520374,-88.203213,Townhouse,6,2.5,2037,12046,2001,23,819693.35,03/01/2017,3388,402.4,760930.33,2023,6879.46,Brian Miller,True,MO-JA-28430,Mid-age
P-100107,10107,"211 Adams St, Apt 23A, Charlotte, NC 60275",211 Adams St,Apt 23A,Charlotte,NC,60275,Mecklenburg,27.241313,-91.423171,Townhouse,3,1.0,2742,13451,1966,58,660359.5,02/08/2025,255,240.83,660581.27,2023,7716.7,Betty Baker,True,NC-ME-50760,Old
P-100109,10109,"8709 Harbor View Blvd, Apt 3E, San Francisco, CA 79228",8709 Harbor View Blvd,Apt 3E,San Francisco,CA,79228,San Francisco,39.649802,-150.205063,Townhouse,1,1.0,5086,13367,1945,79,2196740.11,08/08/2024,614,431.92,1865825.7,2024,24819.38,Amanda Wilson,False,CA-SA-74071,Old
P-100114,10114,"9561 Ridgewood Rd, Apt 21D, Las Vegas, NV 41051",9561 Ridgewood Rd,Apt 21D,Las Vegas,NV,41051,Clark,28.996758,-144.536342,Condo,2,4.0,3061,7569,1927,97,554240.13,25/08/2019,2424,181.07,589663.93,2022,9146.82,Sandra Scott,True,NV-CL-55143,Old
P-100115,10115,"5322 Willow Way, Apt 8C, Columbia, SC 63511",5322 Willow Way,Apt 8C,Columbia,SC,63511,Richland,24.954267,-124.247964,Condo,4,2.5,2446,7373,2010,14,232594.36,02/02/2021,1897,95.09,249904.58,2024,3236.8,Mark Scott,True,SC-RI-60910,New
P-100116,10116,"5511 Pine Rd, Apt 10A, Naperville, IL 68954",5511 Pine Rd,Apt 10A,Naperville,IL,68954,DuPage,43.449035,-148.955632,Condo,1,3.0,3689,14726,1997,27,590279.2,26/06/2016,3579,160.01,485112.28,2024,10187.36,Emily Wilson,True,IL-DU-53642,Mid-age
P-100117,10117,"3213 Park Way, Apt 4D, Waukegan, IL 72773",3213 Park Way,Apt 4D,Waukegan,IL,72773,Lake,45.232694,-96.480513,Condo,4,2.5,5122,10391,2019,5,340786.17,20/01/2021,1910,66.53,327187.11,2023,6870.93,Margaret Allen,False,IL-LA-71080,New
P-100121,10121,"6839 Main St, Apt 27C, Indianapolis, IN 12192",6839 Main St,Apt 27C,Indianapolis,IN,12192,Marion,35.029568,-133.097556,Condo,1,5.0,6316,17359,1975,49,748810.81,09/04/2024,735,118.56,623089.17,2022,8905.58,Sarah Gonzalez,False,IN-MA-43084,Mid-age
P-100122,10122,"6602 Pine Rd, Apt 21A, Seattle, WA 58896",6602 Pine Rd,Apt 21A,Seattle,WA,58896,King,46.421392,-117.067196,Condo,6,2.5,3057,14264,1930,94,2443893.94,28/08/2016,3516,799.44,2431597.09,2022,22181.04,Anthony Harris,True,WA-KI-17355,Old
P-100125,10125,"5766 Cedar Ln, Apt 22D, Boston, MA 22803",5766 Cedar Ln,Apt 22D,Boston,MA,22803,Suffolk,32.582839,-84.035305,Townhouse,5,4.0,3273,3758,2001,23,1283647.44,25/03/2021,1846,392.19,1215846.51,2023,17795.68,Anthony Ramirez,True,MA-SU-86791,Mid-age
P-100129,10129,"2319 Clearwater Ct, Apt 16C, Fort Lauderdale, FL 10887",2319 Clearwater Ct,Apt 16C,Fort Lauderdale,FL,10887,Broward,46.143822,-128.097102,Townhouse,4,3.5,4206,9690,1975,49,756070.87,23/08/2016,3521,179.76,752525.7,2024,7249.45,Daniel Hill,False,FL-BR-36326,Mid-age
P-100130,10130,"6624 Ridgewood Rd, Apt 1D, Atlanta, GA 48200",6624 Ridgewood Rd,Apt 1D,Atlanta,GA,48200,Fulton,40.474171,-101.937486,Townhouse,7,2.5,3269,9430,1955,69,756865.72,16/11/2021,1610,231.53,688372.9,2024,7157.43,Andrew Lopez,False,GA-FU-82102,Old
P-100132,10132,"6666 Birch St, Apt 22D, New Orleans, LA 64827",6666 Birch St,Apt 22D,New Orleans,LA,64827,Orleans,35.406598,-88.20728,Townhouse,6,5.0,5464,15919,1930,94,205308.15,02/07/2023,1017,37.57,204749.81,2023,2046.69,Michelle Williams,True,LA-OR-94545,Old
P-100133,10133,"7152 River Blvd, Apt 30A, Reno, NV 11382",7152 River Blvd,Apt 30A,Reno,NV,11382,Washoe,23.613074,-137.685906,Condo,5,2.5,4251,10380,1970,54,481189.3,30/08/2018,2784,113.19,469918.4,2024,4609.4,Mary Walker,True,NV-WA-64522,Old
P-100134,10134,"2421 Hillcrest Ave, Apt 21A, Orlando, FL 50880",2421 Hillcrest Ave,Apt 21A,Orlando,FL,50880,Orange,30.091267,-88.76851,Condo,4,3.5,4500,6099,1976,48,683155.28,17/03/2021,1854,151.81,611883.63,2023,5223.16,Melissa Davis,True,FL-OR-54967,Mid-age
P-100138,10138,"9871 Lake Dr, Apt 27D, Pittsburgh, PA 85340",9871 Lake Dr,Apt 27D,Pittsburgh,PA,85340,Allegheny,31.168314,-140.839428,Condo,6,2.0,5145,7878,1982,42,345291.12,08/03/2024,767,67.11,308819.4,2023,4765.99,Matthew Smith,True,PA-AL-35575,Mid-age
P-100140,10140,"9106 Birch St, Apt 15C, Arlington, VA 24838",9106 Birch St,Apt 15C,Arlington,VA,24838,Arlington,36.176922,-133.693665,Condo,7,3.5,5040,5721,2017,7,1162776.29,27/02/2020,2238,230.71,1006455.65,2023,9288.58,Carol Carter,True,VA-AR-14224,New
P-100141,10141,"1525 Harbor View Blvd, Apt 20E, Memphis, TN 25386",1525 Harbor View Blvd,Apt 20E,Memphis,TN,25386,Shelby,41.554239,-136.385693,Townhouse,6,3.5,6422,16420,2000,24,453970.31,17/05/2019,2524,70.69,382138.81,2022,6787.69,Patricia Torres,True,TN-SH-46842,Mid-age
P-100144,10144,"5969 Elm St, Apt 21D, Honolulu, HI 80048",5969 Elm St,Apt 21D,Honolulu,HI,80048,Honolulu,31.539471,-72.772814,Condo,4,3.0,3244,7890,1963,61,2119297.13,26/10/2024,535,653.3,2055384.71,2023,35886.28,Amanda Carter,True,HI-HO-23051,Old
P-100146,10146,"948 Creekside Dr, Apt 27A, Hempstead, NY 91999",948 Creekside Dr,Apt 27A,Hempstead,NY,91999,Nassau,29.095995,-96.148601,Condo,4,1.5,6364,7923,1920,104,1100934.59,29/05/2025,320,172.99,924575.81,2022,20340.67,Donald Smith,True,NY-NA-55032,Old
P-100149,10149,"1480 Monroe Blvd, Apt 8D, Tacoma, WA 82534",1480 Monroe Blvd,Apt 8D,Tacoma,WA,82534,Pierce,36.926475,-94.257371,Condo,7,1.0,5993,10935,1946,78,2029134.84,26/07/2020,2088,338.58,1738144.64,2023,20069.5,Patricia Thomas,True,WA-PI-24777,Old
P-100150,10150,"9830 Elm St, Apt 1C, Honolulu, HI 79243",9830 Elm St,Apt 1C,Honolulu,HI,79243,Honolulu,44.5512,-155.95017,Townhouse,3,2.0,3768,13080,1973,51,1564508.01,16/08/2018,2798,415.21,1332696.57,2023,25925.53,Stephanie Jones,True,HI-HO-18851,Old
P-100151,10151,"752 Cedar Ln, Apt 26B, Waukegan, IL 62163",752 Cedar Ln,Apt 26B,Waukegan,IL,62163,Lake,34.425181,-102.314349,Condo,7,4.0,4069,15567,1971,53,184293.69,07/04/2020,2198,45.29,177160.9,2022,3720.38,Lisa Garcia,True,IL-LA-36633,Old
P-100153,10153,"307 Lake Dr, Apt 17A, Tampa, FL 11487",307 Lake Dr,Apt 17A,Tampa,FL,11487,Hillsborough,25.341565,-74.08759,Condo,5,3.0,1967,8059,1936,88,704825.58,27/06/2016,3578,358.33,620690.09,2022,10711.35,Mary Perez,False,FL-HI-45649,Old
P-100156,10156,"3756 Maple Dr, Apt 19D, Atlanta, GA 62550",3756 Maple Dr,Apt 19D,Atlanta,GA,62550,Fulton,22.826551,-116.536807,Condo,7,3.0,3281,4696,1990,34,476262.02,22/02/2022,1512,145.16,409681.23,2024,7134.22,Deborah Flores,True,GA-FU-58270,Mid-age
P-100157,10157,"9054 Monroe Blvd, Apt 8D, Chicago, IL 29735",9054 Monroe Blvd,Apt 8D,Chicago,IL,29735,Cook,21.169014,-121.326858,Condo,5,3.5,5809,17170,1921,103,861772.4,08/04/2026,6,148.35,885625.18,2023,18598.13,Timothy Martin,True,IL-CO-79443,Old
P-100158,10158,"1081 Sunset Blvd, Apt 8C, Fairfax, VA 46677",1081 Sunset Blvd,Apt 8C,Fairfax,VA,46677,Fairfax,23.465206,-76.849127,Condo,4,3.5,4355,5746,1994,30,414692.41,14/10/2024,547,95.22,411028.48,2023,3657.32,Kenneth Brown,True,VA-FA-27132,Mid-age
P-100160,10160,"4441 Park Way, Apt 28D, St. Louis, MO 21851",4441 Park Way,Apt 28D,St. Louis,MO,21851,St. Louis,25.176807,-97.313229,Townhouse,1,2.5,3285,5715,1931,93,674702.77,17/04/2022,1458,205.39,619966.39,2022,9997.7,Thomas Lopez,True,MO-ST-63004,Old
P-100162,10162,"1156 Lincoln Rd, Apt 7B, Dallas, TX 94670",1156 Lincoln Rd,Apt 7B,Dallas,TX,94670,Dallas,32.75093,-145.795135,Townhouse,1,1.0,4376,5205,1941,83,840822.75,04/06/2021,1775,192.14,879925.73,2023,17598.51,Anthony Baker,True,TX-DA-56392,Old
P-100163,10163,"4685 Harbor View Blvd, Apt 26A, Tacoma, WA 29481",4685 Harbor View Blvd,Apt 26A,Tacoma,WA,29481,Pierce,21.91821,-103.13164,Condo,6,3.0,4686,11436,1990,34,1911044.34,19/04/2025,360,407.82,1689234.77,2022,22012.11,Carol King,True,WA-PI-81258,Mid-age
P-100164,10164,"5983 Riverside Dr, Apt 8B, Cincinnati, OH 81371",5983 Riverside Dr,Apt 8B,Cincinnati,OH,81371,Hamilton,41.70803,-127.069032,Townhouse,5,3.5,3781,8211,1943,81,140329.11,03/08/2019,2446,37.11,121483.76,2023,1057.28,Steven King,True,OH-HA-86544,Old
P-100171,10171,"3795 Broadway, Apt 29D, Lexington, KY 69151",3795 Broadway,Apt 29D,Lexington,KY,69151,Fayette,22.953299,-83.418664,Condo,1,3.5,2739,4454,1929,95,386610.4,29/04/2016,3637,141.15,352835.1,2024,3140.24,Jennifer Perez,True,KY-FA-90431,Old
P-100173,10173,"8143 Sunset Blvd, Apt 16C, Indianapolis, IN 17144",8143 Sunset Blvd,Apt 16C,Indianapolis,IN,17144,Marion,30.561966,-119.798282,Condo,7,4.5,2235,3824,1923,101,281423.33,15/02/2019,2615,125.92,249775.43,2022,3417.64,Linda Martin,False,IN-MA-71727,Old
P-100185,10185,"5427 Jackson Dr, Apt 16C, Tacoma, WA 44229",5427 Jackson Dr,Apt 16C,Tacoma,WA,44229,Pierce,38.38717,-74.159662,Condo,2,2.0,4837,8774,1927,97,2906560.96,14/04/2017,3287,600.9,3031568.35,2023,48281.86,Amanda Rodriguez,False,WA-PI-95904,Old
P-100186,10186,"6957 Creekside Dr, Apt 27E, Durham, NC 60891",6957 Creekside Dr,Apt 27E,Durham,NC,60891,Durham,40.523401,-106.276938,Townhouse,7,2.5,3411,15314,2011,13,293443.29,15/04/2020,2190,86.03,290947.28,2023,5492.6,Brian Thompson,True,NC-DU-32280,New
P-100187,10187,"4913 River Blvd, Apt 15A, Decatur, GA 71706",4913 River Blvd,Apt 15A,Decatur,GA,71706,DeKalb,24.39052,-134.497289,Condo,7,2.0,6168,11667,2003,21,189653.86,19/04/2022,1456,30.75,164429.59,2023,2145.09,Nancy White,True,GA-DE-48541,Mid-age
